option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0.01, 'weighted_decay': 0, 'index': 1}",female,0.5783,0.9618,0.9428
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0.001, 'weighted_decay': 0, 'index': 2}",female,0.5524,0.9311,0.9132
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0.0001, 'weighted_decay': 0, 'index': 3}",female,0.4103,0.8121,0.8004
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 1e-05, 'weighted_decay': 0, 'index': 4}",female,0.5773,0.9111,0.8954
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0.01, 'weighted_decay': 0, 'index': 6}",female,0.5216,0.9476,0.9292
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0.001, 'weighted_decay': 0, 'index': 7}",female,0.6265,0.9195,0.9027000000000001
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0.0001, 'weighted_decay': 0, 'index': 8}",female,0.5255,0.9427,0.925
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 1e-05, 'weighted_decay': 0, 'index': 9}",female,0.3807,0.8049,0.7917
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0.01, 'weighted_decay': 0, 'index': 11}",female,0.4531,0.8658,0.8512
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0.001, 'weighted_decay': 0, 'index': 12}",female,0.5404,0.9356,0.9177
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0.0001, 'weighted_decay': 0, 'index': 13}",female,0.4926,0.933,0.9144
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 1e-05, 'weighted_decay': 0, 'index': 14}",female,0.408,0.8562,0.8422000000000001
"{'nodes': [10, 20, 40, 20], 'batch': 4096, 'decay': 0.01, 'weighted_decay': 0, 'index': 16}",female,0.4119,0.8508,0.8371999999999999
"{'nodes': [10, 20, 40, 20], 'batch': 4096, 'decay': 0.001, 'weighted_decay': 0, 'index': 17}",female,0.5467,0.925,0.9069
"{'nodes': [10, 20, 40, 20], 'batch': 4096, 'decay': 0.0001, 'weighted_decay': 0, 'index': 18}",female,0.5861,0.9513,0.9326
"{'nodes': [10, 20, 40, 20], 'batch': 4096, 'decay': 1e-05, 'weighted_decay': 0, 'index': 19}",female,0.4383,0.8844,0.8678
"{'nodes': [10, 20, 40, 20], 'batch': 2048, 'decay': 0.01, 'weighted_decay': 0, 'index': 21}",female,0.4438,0.9146,0.8975
"{'nodes': [10, 20, 40, 20], 'batch': 2048, 'decay': 0.001, 'weighted_decay': 0, 'index': 22}",female,0.5949,0.9357,0.9185
"{'nodes': [10, 20, 40, 20], 'batch': 2048, 'decay': 0.0001, 'weighted_decay': 0, 'index': 23}",female,0.4969,0.9263,0.9077999999999999
"{'nodes': [10, 20, 40, 20], 'batch': 2048, 'decay': 1e-05, 'weighted_decay': 0, 'index': 24}",female,0.4642,0.8868,0.872
"{'nodes': [10, 20, 40, 20], 'batch': 1024, 'decay': 0.01, 'weighted_decay': 0, 'index': 26}",female,0.3839,0.7873,0.7746
"{'nodes': [10, 20, 40, 20], 'batch': 1024, 'decay': 0.001, 'weighted_decay': 0, 'index': 27}",female,0.5862,0.9457,0.9276
"{'nodes': [10, 20, 40, 20], 'batch': 1024, 'decay': 0.0001, 'weighted_decay': 0, 'index': 28}",female,0.4841,0.8668,0.8521
"{'nodes': [10, 20, 40, 20], 'batch': 1024, 'decay': 1e-05, 'weighted_decay': 0, 'index': 29}",female,0.5961,0.9507,0.9318
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0.01, 'weighted_decay': 0, 'index': 31}",female,0.5288,0.9359999999999999,0.9172
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0.001, 'weighted_decay': 0, 'index': 32}",female,0.42,0.8572,0.8434
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0.0001, 'weighted_decay': 0, 'index': 33}",female,0.4635,0.9275,0.9095
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 1e-05, 'weighted_decay': 0, 'index': 34}",female,0.363,0.8159,0.8045
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0.01, 'weighted_decay': 0, 'index': 36}",female,0.5945,0.9637,0.9433
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0.001, 'weighted_decay': 0, 'index': 37}",female,0.4802,0.9092,0.8925
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0.0001, 'weighted_decay': 0, 'index': 38}",female,0.4356,0.8949,0.8792
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 1e-05, 'weighted_decay': 0, 'index': 39}",female,0.4026,0.8262,0.8132
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0.01, 'weighted_decay': 0, 'index': 41}",female,0.5688,0.9554,0.9368
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0.001, 'weighted_decay': 0, 'index': 42}",female,0.5693,0.9635,0.9439
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0.0001, 'weighted_decay': 0, 'index': 43}",female,0.5789,0.9504,0.9314
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 1e-05, 'weighted_decay': 0, 'index': 44}",female,0.4562,0.9292,0.9105
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0.01, 'weighted_decay': 0, 'index': 46}",female,0.5787,0.9301,0.9121
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0.001, 'weighted_decay': 0, 'index': 47}",female,0.3356,0.7539,0.7428
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0.0001, 'weighted_decay': 0, 'index': 48}",female,0.464,0.9372,0.9188000000000001
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 1e-05, 'weighted_decay': 0, 'index': 49}",female,0.5727,0.9578,0.9385
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0.01, 'weighted_decay': 0, 'index': 51}",female,0.4831,0.899,0.8825000000000001
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0.001, 'weighted_decay': 0, 'index': 52}",female,0.3943,0.8169,0.8042
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0.0001, 'weighted_decay': 0, 'index': 53}",female,0.5722,0.9248,0.9077999999999999
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 1e-05, 'weighted_decay': 0, 'index': 54}",female,0.5761,0.9696,0.9495
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0.01, 'weighted_decay': 0, 'index': 56}",female,0.519,0.9592,0.9399
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0.001, 'weighted_decay': 0, 'index': 57}",female,0.5153,0.8898,0.8737
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0.0001, 'weighted_decay': 0, 'index': 58}",female,0.5257,0.9338,0.9165
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 1e-05, 'weighted_decay': 0, 'index': 59}",female,0.4625,0.9403,0.922
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0.01, 'weighted_decay': 0, 'index': 61}",female,0.5398,0.9468,0.9273
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0.001, 'weighted_decay': 0, 'index': 62}",female,0.3845,0.973,0.9522
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0.0001, 'weighted_decay': 0, 'index': 63}",female,0.4888,0.907,0.8894
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 1e-05, 'weighted_decay': 0, 'index': 64}",female,0.4343,0.8677,0.8538
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0.01, 'weighted_decay': 0, 'index': 66}",female,0.4409,0.9274,0.9104
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0.001, 'weighted_decay': 0, 'index': 67}",female,0.5033,0.9352,0.918
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0.0001, 'weighted_decay': 0, 'index': 68}",female,0.4835,0.9469,0.9277
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 1e-05, 'weighted_decay': 0, 'index': 69}",female,0.429,0.9249,0.9069
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0.01, 'weighted_decay': 0, 'index': 71}",female,0.5123,0.9339,0.9156
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0.001, 'weighted_decay': 0, 'index': 72}",female,0.4714,0.8812,0.8661
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0.0001, 'weighted_decay': 0, 'index': 73}",female,0.4834,0.9521,0.9331
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 1e-05, 'weighted_decay': 0, 'index': 74}",female,0.5606,0.9275,0.9107
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0.01, 'weighted_decay': 0, 'index': 76}",female,0.3742,0.7115,0.7026
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0.001, 'weighted_decay': 0, 'index': 77}",female,0.4858,0.9226,0.9052
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0.0001, 'weighted_decay': 0, 'index': 78}",female,0.511,0.9576,0.9384
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 1e-05, 'weighted_decay': 0, 'index': 79}",female,0.59,0.8646,0.8515
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0.01, 'weighted_decay': 0, 'index': 81}",female,0.4978,0.9213,0.9036
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0.001, 'weighted_decay': 0, 'index': 82}",female,0.6633,0.9139,0.8976999999999999
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 2048, 'decay': 0.0001, 'weighted_decay': 0, 'index': 83}",female,0.484,0.9615,0.9427
