option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 0}",female,0.465,0.9047,0.8881
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 1}",female,0.4975,0.9062,0.8901
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 2}",female,0.5826,0.8998,0.8841
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 3}",female,0.5527,0.9368,0.9189
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 4}",female,0.4569,0.9372,0.9184
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 5}",female,0.6575,0.9731,0.9524
"{'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 6}",female,0.5431,0.939,0.9201
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 7}",female,0.5655,0.8988,0.8822
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 8}",female,0.5521,0.9106,0.8928
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 9}",female,0.5606,0.904,0.8869
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 10}",female,0.6096,0.959,0.9395
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 11}",female,0.6805,0.9257,0.9077
"{'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 12}",female,0.5556,0.8702,0.8554
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 13}",female,0.4208,0.8708,0.8554
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 14}",female,0.5656,0.9399,0.9219
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 15}",female,0.5489,0.9284,0.9109999999999999
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 16}",female,0.4131,0.888,0.8724
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 17}",female,0.3997,0.9098,0.8924
"{'nodes': [10, 20, 40], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 18}",female,0.3764,0.7656,0.7556
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 19}",female,0.5874,0.9368,0.9183
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 20}",female,0.6983,0.9455,0.9271
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 21}",female,0.499,0.94,0.9212
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 22}",female,0.5835,0.9741,0.9537
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 23}",female,0.5924,0.9373,0.9192
"{'nodes': [10, 20, 40], 'lr_rate': 0.0005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 24}",female,0.4782,0.9024,0.8854
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 25}",female,0.5844,0.9565,0.938
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 26}",female,0.4379,0.8571,0.8422
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 27}",female,0.5454,0.9492,0.9309999999999999
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 28}",female,0.5934,0.9568,0.9374
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 29}",female,0.3632,0.8624,0.8482
"{'nodes': [10, 20, 40], 'lr_rate': 0.0005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 30}",female,0.3529,0.8769,0.8612
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 31}",female,0.6169,0.9516,0.932
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 32}",female,0.5094,0.8768,0.8627
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 33}",female,0.5556,0.8639,0.8485
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 34}",female,0.5376,0.9479,0.9287
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 35}",female,0.3633,0.8153,0.8013
"{'nodes': [10, 20, 40], 'lr_rate': 0.001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 36}",female,0.448,0.8225,0.8113
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 37}",female,0.5186,0.9434,0.9242
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 38}",female,0.6241,0.8919,0.8761
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 39}",female,0.6184,0.9438,0.9246
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 40}",female,0.6338,0.9505,0.9318
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 41}",female,0.4884,0.8903,0.8737
"{'nodes': [10, 20, 40], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 42}",female,0.5686,0.9167,0.899
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 43}",female,0.3816,0.7011,0.6933
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 44}",female,0.5388,0.9365,0.9179
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 45}",female,0.4419,0.8862,0.8695
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 46}",female,0.4156,0.8863,0.872
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 47}",female,0.557,0.9303,0.9125
