option,gender,c-td,c-index,auc
"{'lr_rate': 0.0001, 'batch': 4096, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 0}",female,0.4878,0.918,0.9005
"{'lr_rate': 0.0001, 'batch': 2048, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 1}",female,0.4878,0.9179999999999999,0.9005
"{'lr_rate': 0.0001, 'batch': 1024, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 2}",female,0.4878,0.918,0.9005
"{'lr_rate': 0.0005, 'batch': 4096, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 3}",female,0.4878,0.9179999999999999,0.9005
"{'lr_rate': 0.0005, 'batch': 2048, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 4}",female,0.4878,0.918,0.9005
"{'lr_rate': 0.0005, 'batch': 1024, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 5}",female,0.4878,0.9179999999999999,0.9005
"{'lr_rate': 0.001, 'batch': 4096, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 6}",female,0.4878,0.918,0.9005
"{'lr_rate': 0.001, 'batch': 2048, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 7}",female,0.4878,0.9179999999999999,0.9005
"{'lr_rate': 0.001, 'batch': 1024, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 8}",female,0.4878,0.918,0.9005
"{'lr_rate': 0.005, 'batch': 4096, 'decay': 0, 'weighted_decay': 0, 'net': Sequential(
  (0): Linear(in_features=15, out_features=10, bias=True)
  (1): ReLU()
  (2): BatchNorm1d(10, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (3): Linear(in_features=10, out_features=20, bias=True)
  (4): ReLU()
  (5): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (6): Linear(in_features=20, out_features=40, bias=True)
  (7): ReLU()
  (8): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (9): Linear(in_features=40, out_features=40, bias=True)
  (10): ReLU()
  (11): LayerNorm((40,), eps=1e-05, elementwise_affine=True)
  (12): Linear(in_features=40, out_features=40, bias=True)
  (13): ReLU()
  (14): BatchNorm1d(40, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (15): Linear(in_features=40, out_features=20, bias=True)
  (16): ReLU()
  (17): LayerNorm((20,), eps=1e-05, elementwise_affine=True)
  (18): Dropout(p=0.001, inplace=False)
  (19): Linear(in_features=20, out_features=1, bias=True)
), 'index': 9}",female,0.4878,0.9179999999999999,0.9005
