option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0, 'lr_rate': 0.1, 'index': 0}",female,0.5228,0.8952,0.8793
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0, 'lr_rate': 0.05, 'index': 1}",female,0.5787,0.9127,0.8954
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0, 'lr_rate': 0.01, 'index': 2}",female,0.5173,0.9216,0.9055
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0, 'lr_rate': 0.005, 'index': 3}",female,0.4885,0.8933,0.8765
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0, 'lr_rate': 0.001, 'index': 4}",female,0.5435,0.915,0.9001
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0005, 'index': 5}",female,0.4841,0.86,0.8442
"{'nodes': [10, 20, 40], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0001, 'index': 6}",female,0.4676,0.8455,0.8318
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0, 'lr_rate': 0.1, 'index': 7}",female,0.6013,0.9436,0.9253
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0, 'lr_rate': 0.05, 'index': 8}",female,0.4270000000000001,0.8716,0.8563
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0, 'lr_rate': 0.01, 'index': 9}",female,0.4509,0.9376,0.9185
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0, 'lr_rate': 0.005, 'index': 10}",female,0.4715,0.9201,0.9039
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0, 'lr_rate': 0.001, 'index': 11}",female,0.4385,0.8711,0.856
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0005, 'index': 12}",female,0.5323,0.8937,0.8781
"{'nodes': [10, 20, 40], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0001, 'index': 13}",female,0.487,0.8968,0.8809999999999999
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0, 'lr_rate': 0.1, 'index': 14}",female,0.4629,0.9253,0.9085
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0, 'lr_rate': 0.05, 'index': 15}",female,0.6025,0.9297,0.9129
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0, 'lr_rate': 0.01, 'index': 16}",female,0.5605,0.9328,0.9159999999999999
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0, 'lr_rate': 0.005, 'index': 17}",female,0.5002,0.9371,0.9197
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0, 'lr_rate': 0.001, 'index': 18}",female,0.395,0.9297,0.9118
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0005, 'index': 19}",female,0.4567,0.8519,0.8384
"{'nodes': [10, 20, 40], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0001, 'index': 20}",female,0.5272,0.932,0.9139
"{'nodes': [10, 20, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.1, 'index': 21}",female,0.6003,0.9467,0.9283
